PuzzleId,FEN,Moves,Rating,Themes
0061g,"6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27","e1d1 g3b8 e6e8 b8e8",801,"endgame mate mateIn2 short"
00H8a,"5bk1/2R4p/6p1/8/2b1NP1P/4P1K1/r7/8 b - - 2 45","c4d3 e4f6 g8h8 c7h7",801,"arabianMate endgame mate mateIn2 short"
00AbP,"4r1k1/pp3pp1/2p5/7b/4P2P/2P2N2/PP4K1/3R4 b - - 0 24","e8e4 d1d8 g8h7 f3g5",804,"crushing endgame short"
00HEh,"3R1rk1/pp3ppp/2p3b1/2n3P1/2B2q1P/5N2/PPP1QP2/4R1K1 b - - 0 23","f8d8 e2e8 d8e8 e1e8",812,"kingsideAttack mate mateIn2 middlegame sacrifice short"
00IEW,"6k1/6p1/R6p/3P1N2/8/3K4/2r2b2/8 b - - 5 57","c2c8 f5e7 g8f7 e7c8",814,"crushing endgame fork short"
00EBZ,"3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P3qP/P2R2P1/5RK1 w - - 1 24","f1f3 g3e1 g1h2 e1d2",818,"crushing endgame fork short"
001gi,"r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18","c7a8 a5c3",819,"bodenMate hangingPiece mate mateIn1 middlegame oneMove"
006yP,"6R1/8/Kpk1p3/1p1pP3/6P1/PPP1r3/8/8 b - - 3 40","e3c3 g8c8 c6d7 c8c3",819,"crushing endgame master rookEndgame short skewer"
00HLP,"r4rk1/3nqpp1/4p2p/1p2P3/2pn1Q2/P2B3N/1P3PPP/3R1RK1 w - - 0 24","d3b1 d4e2 g1h1 e2f4",821,"crushing fork middlegame short"
00Ec4,"2rq1r1k/p5pp/8/1p1BpPb1/2Pp2Q1/P2P2R1/6PP/R5K1 b - - 3 25","c8c7 g4g5 d8g5 g3g5",823,"crushing middlegame short"
0082f,"r4rk1/2q2ppp/3pp3/4Pb1N/pp6/1B4Q1/PPP3PP/1K1RR3 b - - 0 21","a4b3 g3g7",827,"kingsideAttack mate mateIn1 middlegame oneMove"
00ERL,"1r2R1k1/2Q4p/pp6/2p2n2/P2P1P1q/2P4P/2PB2b1/4R1K1 b - - 0 29","b8e8 e1e8",827,"mate mateIn1 middlegame oneMove"
00B2k,"r4rk1/pbp3pp/1p1pp3/6B1/2PPp2q/3nP2P/PP3P2/R2QKBR1 w Q - 8 16","f1d3 h4f2",828,"attackingF2F7 mate mateIn1 middlegame oneMove"
00Bse,"8/5p2/1R4k1/6p1/8/3r2PP/5K2/8 b - - 3 40","g6h5 g3g4 h5h4 b6h6",830,"endgame mate mateIn2 rookEndgame short"
00Enl,"2kr4/1pp5/p1b2R1n/2PpP3/3B2p1/2P1Q1Pp/PPq4P/5RK1 w - - 3 27","f6h6 c2g2",831,"mate mateIn1 middlegame oneMove"
00KVO,"4r3/p1R3p1/4r2p/3k1n2/3p4/P5B1/1P4PP/4R1K1 w - - 2 28","c7a7 e6e1 g3e1 e8e1",834,"crushing endgame short"
00F1l,"8/2k1b3/5p2/RBpK1Pp1/Pp1p2P1/3P4/2r5/8 b - - 2 45","b4b3 a5a7 c7b8 a7e7",836,"crushing endgame master short skewer"
005x9,"r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RN1K3R w q - 2 13","d1c1 e2c2",838,"mate mateIn1 middlegame oneMove queensideAttack"
006OI,"8/p7/5k2/P5R1/6KP/8/8/5r2 w - - 5 53","g5g8 f1g1 g4f4 g1g8",843,"crushing endgame rookEndgame short skewer"
00HeG,"8/1p5k/p3pQq1/3pP3/2p3P1/2P5/PP6/2K5 w - - 3 33","f6h4 g6h6 h4h6 h7h6",851,"crushing endgame master queenEndgame short"
00Keu,"R7/1p3kp1/2pK3p/3p1PP1/1r1B2nP/8/1P6/8 b - - 2 39","b4d4 g5g6 f7f6 a8f8",859,"endgame mate mateIn2 short"
00EDa,"r1bk3r/ppp1np1p/3p2pP/1N2P1q1/2BP1n2/8/PPP3P1/R1BQ2KR w - - 1 14","e5d6 g5g2",860,"kingsideAttack mate mateIn1 oneMove opening"
004WZ,"r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R4Kr1 w - - 2 26","f1g1 c6h1",866,"mate mateIn1 middlegame oneMove"
00AOH,"6k1/1R6/1p2p1pp/4P3/p1N2P2/6PK/7P/1r6 w - - 0 48","b7b6 b1b6 c4b6 a4a3 b6d7 a3a2",866,"advancedPawn advantage endgame long"
001pC,"r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18","f1g1 h3f2",870,"mate mateIn1 middlegame oneMove smotheredMate"
008rw,"rn2kb1r/pp2pppp/2p2n2/4q3/8/2N4Q/PPPPBPPP/R1B1K2R b KQkq - 2 8","g7g6 h3c8",871,"mate mateIn1 oneMove opening"
00A5v,"4r1k1/pp1qr1p1/7p/2pPR3/2P2p2/1PQ2P2/P5PP/4R1K1 w - - 3 33","c3d2 e7e5 e1e5 e8e5",876,"crushing endgame short"
00FjB,"rnbk3r/pppp1Bpp/8/5p2/4p3/2PP4/P1P2PPP/R1B1K2R b KQ - 0 13","h8f8 c1g5",878,"doubleBishopMate mate mateIn1 middlegame oneMove"
00BNd,"1rr3k1/3bppbp/3p1np1/1B1N4/P2BP3/5P2/P2R2PP/R5K1 b - - 0 21","d7b5 d5e7 g8f8 e7c8",881,"advantage fork middlegame short"
00EWi,"8/8/1R3pkp/1pP5/1P3PKP/r7/8/8 w - - 2 48","b6b5 f6f5",885,"endgame mate mateIn1 oneMove rookEndgame"
00KRo,"4r3/pp1b2pp/3k4/2pP1pK1/2P1p2P/2P3P1/P3R3/2B5 b - - 2 26","d6e5 c1f4",889,"endgame mate mateIn1 oneMove"
00HHN,"4r2k/p6p/1p3R2/2p5/2P5/1P4R1/r5PP/2K5 w - - 0 32","f6f7 e8e1",892,"endgame mate mateIn1 oneMove rookEndgame"
00H9n,"7k/6p1/8/4p3/Pp1b4/1P3b1q/3Q2P1/5RK1 w - - 0 45","d2d4 h3g2",893,"endgame master mate mateIn1 oneMove"
004nd,"3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24","c7d7 e4f6 d8f6 h6f6",898,"crushing fork middlegame short"
